"lethal.temp","population","treatment"
25.866,"Ontario","2.0°C"
23.328,"Ontario","7.0°C"
24.581,"Ontario","2.0°C"
27.358,"Ontario","2.0°C"
25.065,"Ontario","2.0°C"
24.243,"Superior","2.0°C"
26.598,"Ontario","4.5°C"
25.841,"Ontario","7.0°C"
24.557,"Ontario","2.0°C"
23.424,"Ontario","7.0°C"
24.195,"Ontario","7.0°C"
19.674,"Superior","2.0°C"
24.702,"Ontario","4.5°C"
25.574,"Superior","7.0°C"
24.291,"Ontario","2.0°C"
27.899,"Ontario","4.5°C"
24.798,"Ontario","7.0°C"
23.545,"Ontario","7.0°C"
24.146,"Ontario","2.0°C"
28.097,"Ontario","2.0°C"
26.622,"Ontario","2.0°C"
24.823,"Ontario","2.0°C"
24.243,"Ontario","4.5°C"
24.291,"Ontario","7.0°C"
25.866,"Ontario","2.0°C"
27.358,"Ontario","2.0°C"
26.598,"Superior","2.0°C"
23.689,"Ontario","4.5°C"
24.653,"Ontario","4.5°C"
28.072,"Ontario","2.0°C"
25.501,"Superior","7.0°C"
27.259,"Ontario","2.0°C"
24.774,"Ontario","7.0°C"
26.134,"Superior","4.5°C"
21.318,"Ontario","2.0°C"
27.604,"Ontario","2.0°C"
24.653,"Ontario","7.0°C"
25.137,"Ontario","2.0°C"
23.737,"Ontario","4.5°C"
22.298,"Ontario","4.5°C"
21.987,"Ontario","4.5°C"
24.412,"Ontario","4.5°C"
26.012,"Ontario","2.0°C"
25.963,"Superior","7.0°C"
25.744,"Superior","7.0°C"
26.207,"Ontario","4.5°C"
23.761,"Ontario","4.5°C"
26.231,"Superior","2.0°C"
25.065,"Ontario","2.0°C"
27.776,"Superior","2.0°C"
27.579,"Ontario","4.5°C"
23.713,"Superior","2.0°C"
26.769,"Ontario","7.0°C"
23.737,"Ontario","2.0°C"
25.089,"Superior","2.0°C"
26.94,"Ontario","4.5°C"
24.074,"Superior","4.5°C"
26.793,"Ontario","4.5°C"
27.899,"Superior","2.0°C"
25.72,"Ontario","4.5°C"
22.178,"Ontario","2.0°C"
23.713,"Ontario","2.0°C"
26.622,"Ontario","7.0°C"
25.866,"Ontario","4.5°C"
25.647,"Ontario","2.0°C"
25.841,"Ontario","7.0°C"
22.824,"Ontario","7.0°C"
24.195,"Superior","7.0°C"
22.8,"Ontario","2.0°C"
23.593,"Ontario","4.5°C"
26.304,"Ontario","2.0°C"
24.75,"Ontario","4.5°C"
26.622,"Ontario","2.0°C"
24.871,"Ontario","4.5°C"
25.72,"Superior","7.0°C"
23.737,"Ontario","7.0°C"
23.689,"Superior","4.5°C"
21.175,"Ontario","4.5°C"
20.412,"Superior","2.0°C"
24.823,"Superior","4.5°C"
26.012,"Superior","4.5°C"
27.235,"Superior","4.5°C"
26.304,"Ontario","7.0°C"
24.605,"Ontario","2.0°C"
26.231,"Ontario","7.0°C"
26.329,"Ontario","7.0°C"
22.8,"Ontario","2.0°C"
26.256,"Ontario","4.5°C"
27.235,"Superior","2.0°C"
26.622,"Ontario","7.0°C"
28.468,"Ontario","2.0°C"
24.508,"Ontario","2.0°C"
25.963,"Ontario","7.0°C"
24.605,"Ontario","2.0°C"
24.581,"Ontario","2.0°C"
27.776,"Ontario","4.5°C"
27.014,"Ontario","4.5°C"
26.671,"Ontario","2.0°C"
27.186,"Superior","2.0°C"
23.208,"Ontario","2.0°C"
24.219,"Ontario","4.5°C"
27.186,"Ontario","4.5°C"
22.824,"Ontario","4.5°C"
26.598,"Ontario","2.0°C"
24.557,"Ontario","4.5°C"
26.622,"Ontario","7.0°C"
24.605,"Ontario","4.5°C"
27.358,"Ontario","7.0°C"
26.353,"Ontario","2.0°C"
24.412,"Ontario","2.0°C"
21.867,"Superior","7.0°C"
26.842,"Ontario","7.0°C"
24.243,"Ontario","2.0°C"
26.94,"Superior","2.0°C"
26.818,"Superior","2.0°C"
23.328,"Ontario","4.5°C"
24.508,"Superior","2.0°C"
26.622,"Ontario","4.5°C"
25.841,"Ontario","2.0°C"
27.014,"Superior","4.5°C"
26.744,"Ontario","2.0°C"
23.713,"Ontario","4.5°C"
26.818,"Ontario","4.5°C"
26.598,"Ontario","2.0°C"
24.315,"Ontario","4.5°C"
26.012,"Ontario","2.0°C"
27.186,"Ontario","4.5°C"
26.769,"Superior","2.0°C"
24.243,"Ontario","2.0°C"
24.074,"Superior","4.5°C"
22.729,"Superior","4.5°C"
22.8,"Superior","4.5°C"
25.647,"Ontario","4.5°C"
25.647,"Ontario","4.5°C"
23.424,"Superior","4.5°C"
26.231,"Ontario","4.5°C"
26.134,"Superior","4.5°C"
22.25,"Ontario","7.0°C"
25.04,"Ontario","2.0°C"
27.259,"Ontario","4.5°C"
24.605,"Ontario","4.5°C"
24.605,"Superior","2.0°C"
26.231,"Ontario","7.0°C"
24.702,"Superior","2.0°C"
28.097,"Ontario","4.5°C"
22.25,"Ontario","4.5°C"
25.744,"Ontario","7.0°C"
22.298,"Ontario","7.0°C"
26.598,"Superior","4.5°C"
24.291,"Ontario","7.0°C"
26.842,"Ontario","4.5°C"
26.207,"Ontario","2.0°C"
26.207,"Ontario","2.0°C"
25.404,"Ontario","2.0°C"
25.963,"Ontario","4.5°C"
23.737,"Ontario","2.0°C"
23.954,"Superior","2.0°C"
25.065,"Ontario","4.5°C"
24.653,"Superior","7.0°C"
22.465,"Ontario","4.5°C"
24.677,"Ontario","7.0°C"
26.451,"Ontario","4.5°C"
26.304,"Superior","7.0°C"
24.267,"Ontario","2.0°C"
23.328,"Ontario","2.0°C"
24.871,"Ontario","2.0°C"
23.352,"Ontario","2.0°C"
26.28,"Ontario","2.0°C"
27.014,"Ontario","7.0°C"
23.713,"Superior","2.0°C"
24.605,"Superior","7.0°C"
25.137,"Ontario","2.0°C"
25.914,"Ontario","4.5°C"
25.72,"Superior","7.0°C"
25.137,"Ontario","2.0°C"
27.186,"Ontario","2.0°C"
